"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;22;14;0;0;5
1;22;15;2;1;0
1;22;16;0;0;6
1;22;17;2;0;0
1;22;18;0;3;0
1;22;19;1;1;1
1;22;20;1;2;2
1;22;21;1;1;7
1;22;22;2;0;1
1;22;23;3;4;1
1;22;24;0;2;3
1;22;25;0;3;5
1;22;26;0;1;1
1;22;27;0;4;21
1;22;28;0;1;0
1;22;29;1;2;4
1;22;30;1;1;0
1;22;31;0;0;0
1;22;32;3;0;0
1;22;33;1;3;5
1;22;34;1;1;1
1;22;35;0;0;0
1;22;36;0;0;0
1;22;37;0;0;12
1;22;38;0;5;2
1;22;39;0;7;0
1;22;40;1;0;2
1;22;41;0;4;1
1;22;42;0;2;2
1;22;43;0;0;4
1;22;44;0;5;0
1;22;45;0;2;1
1;22;46;1;0;1
1;22;47;0;0;4
1;22;48;0;0;1
1;22;49;0;1;3
1;22;50;0;2;3
1;23;1;0;16;2
1;23;2;0;6;1
1;23;3;1;12;1
1;23;4;1;1;2
1;23;5;3;6;7
1;23;6;1;7;2
1;23;7;0;8;5
1;23;8;1;2;0
1;23;9;0;0;4
1;23;10;1;0;0
1;23;11;1;5;11
1;23;12;0;1;0
1;23;13;0;1;1
1;23;14;0;37;31
1;23;15;0;7;6
1;23;16;0;4;7
1;23;17;0;1;12
1;23;18;0;0;1
1;23;19;1;0;0
1;23;20;0;13;0
1;23;21;1;10;1
1;23;22;1;2;0
1;23;23;2;0;3
1;23;24;0;1;2
1;23;25;0;0;0
1;23;26;0;2;2
1;23;27;1;1;1
1;23;28;0;3;1
1;23;29;1;1;2
1;23;30;0;1;1
1;23;31;0;11;0
1;23;32;1;0;2
1;23;33;0;4;0
1;23;34;0;2;1
1;23;35;0;1;2
1;23;36;1;1;9
1;23;37;0;0;1
1;23;38;0;0;5
1;23;39;0;0;7
1;23;40;0;1;0
1;23;41;0;3;1
1;23;42;1;0;1
1;23;43;0;1;2
1;23;44;1;2;2
1;23;45;2;0;0
